Name,BSE Code,NSE Code
Chennai Ferrous,539011,
Chennai Meena,523489,
Chetana Educa.,,CHETANA
Cheviot Company,526817,CHEVIOT
Chiraharit,544561,
CHL,532992,
Choice Intl.,531358,CHOICEIN
Choksi Asia,530427,
Choksi Laborator,526546,
Chola Financial,504973,CHOLAHLDNG
Cholaman.Inv.&Fn,511243,CHOLAFIN
Chordia Food,519475,
Chothani Foods,540681,
Chowgule Steam,501833,
Chrome Silicon,513005,
CIAN Agro,519477,
Cian Healthcare,542678,
CIE Automotive,532756,CIEINDIA
Cigniti Tech.,534758,CIGNITITEC
Cil Securities,530829,
Cindrella Fin.,531283,
Cindrella Hotels,526373,
Cineline India,532807,CINELINE
Cinevista,532324,CINEVISTA
Cipla,500087,CIPLA
Cistro Telelink,531775,
Citadel Realty,502445,
Citichem India,544324,
CitiPort Fin.,531235,
Citizen Infoline,538786,
City Crops Agro,544000,
City Online Ser.,538674,
City Pulse Multi,542727,
City Union Bank,532210,CUB
Cityman,521210,
CL Educate,540403,CLEDUCATE
Clara Industries,543435,
Classic Electrod,,CLASSICEIL
Classic Filament,540310,
Classic Leasing,540481,
Clean Science,543318,CLEAN
Clear Secured,,CSSL
Clenon Enterpri,517564,
Clinitech Lab,544220,
CLIO Infotech,530839,
CLN Energy,544347,
CMI,517330,CMICABLES
CMS Info Systems,543441,CMSINFO
CMX Holdings,532217,
Coal India,533278,COALINDIA
Coastal Corporat,501831,COASTCORP
Coastal Roadways,520131,
Cochin Malabar,508571,
Cochin Minerals,513353,
Cochin Shipyard,540678,COCHINSHIP
Coffee Day Enter,539436,COFFEEDAY
Coforge,532541,COFORGE
Cohance Life,543064,COHANCE
Colab Platforms,542866,
Colgate-Palmoliv,500830,COLPAL
Colinz Labs,531210,
Colorchips New,540023,
Comfort Comtrade,534691,
Comfort Fincap,535267,
Comfort Intech,531216,
Command Polymers,543843,
Commerl. Synbags,539986,COMSYN
Committed Cargo,,COMMITTED
Competent Auto,531041,
Compuage Info.,532456,COMPINFO
Compucom Soft.,532339,COMPUSOFT
Computer Point,507833,
Comrade Applian.,543921,
Conart Engineers,522231,
Concord Biotech,543960,CONCORDBIO
Concord Control,543619,
Concord Drugs,538965,
Concord Enviro,544315,CEWATER
Confidence Fut.,539991,
Confidence Petro,526829,CONFIPET
Connplex Cinemas,,CONNPLEX
Cons. Finvest,,CONSOFINVT
Consecutive In&T,539091,
Constronics,523844,
Cont. Chemicals,506935,
Cont. Controls,531460,
Cont. Petroleums,523232,
Cont. Securities,538868,
Containe Tech.,543606,
Container Corpn.,531344,CONCOR
Containerway Int,540597,
Contil India,531067,
Continental Seed,,CONTI
Control Print,522295,CONTROLPR
Cool Caps,,COOLCAPS
Coral India Fin.,531556,CORALFINAC
Coral Labs.,524506,
Coral Newsprints,530755,
Cords Cable,532941,CORDSCABLE
Coromandel Engg.,533167,
Coromandel Inter,506395,COROMANDEL
Corona Remedies,544644,CORONA
Corporate Merch,540199,
COSCO (India),530545,
Cosmic CRF,543928,
Cosmo Ferrites,523100,
Cosmo First,508814,COSMOFIRST
Cospower Engine.,543172,
COSYN,538922,
Country Club Hos,526550,CCHHL
Country Condo,531624,COUNCODOS
Covance Softsol,544361,
Covidh Technolog,534920,
CP Capital,533260,CPCAP
Craftsman Auto,543276,CRAFTSMAN
Crane Infra,538770,
Cranes Software,512093,
Cranex,522001,
Cravatex,509472,
Crayons Advertis,,CRAYONS
Creative Casting,539527,
Creative Eye,532392,CREATIVEYE
Creative Graphic,,CGRAPHICS
Creative Newtech,544631,CNL
Credent Global,539598,
CreditAcc. Gram.,541770,CREDITACC
Credo Brands,544058,MUFTI
Cresanto Global,531207,
Cressanda Railwa,512379,
Crest Ventures,511413,CREST
Crestchem,526269,
Crimson Metal,526977,
CRISIL,500092,CRISIL
Crizac,544439,CRIZAC
Croissance Ltd,531909,
Crompton Gr. Con,539876,CROMPTON
Crop Life Scienc,,CLSL
Cropster Agro,523105,
Crown Lifters,,CROWN
Cryogenic OGS,544440,
Crystal Business,540821,
CSB Bank,542867,CSBBANK
CSL Finance,530067,CSLFINANCE
Cube Highways,543899,CUBEINVIT
Cubex Tubings,526027,CUBEXTUB
Cubical Finan,511710,
Cummins India,500480,CUMMINSIND
Cupid,530843,CUPID
Cupid Breweries,512361,
Cura Tech.,532332,CURAA
Curis Lifescien.,,CURIS
Current Infra.,,CURRENT
CWD,543378,
Cybele Industrie,531472,
Cyber Media Ind,532640,CYBERMEDIA
Cyber Media Res.,,CMRSL
Cybertech Sys.,532173,CYBERTECH
Cyient,532175,CYIENT
Cyient DLM,543933,CYIENTDLM
D & H India,517514,
D B Corp,533151,DBCORP
D P Wires,543962,DPWIRES
D-Link India,533146,DLINKINDIA
D.K. Enterprises,,DKEGL
D.P. Abhushan,544161,DPABHUSHAN
Dabur India,500096,DABUR
Dachepalli Pub.,,
Dai-ichi Karkari,526821,
Daikaffil Chem,530825,
Dalal Street Inv,501148,
Dalmia Bharat,500097,DALMIASUG
Dalmia BharatLtd,542216,DALBHARAT
Dalmia Industria,539900,
Dam Capital Advi,544316,DAMCAPITAL
Damodar Indust.,521220,DAMODARIND
Dangee Dums,,DANGEE
Danish Power,,DANISH
Danlaw Tech.,532329,
Danube Industrie,540361,
DAPS Advertising,543651,
Dar Credit & Cap,,DCCL
Darjeeling Ropew,539770,
Darshan Orna,539884,
Data Pattern,543428,DATAPATTNS
Datamatics Glob.,532528,DATAMATICS
Daulat Securitie,530171,
Davangere Sugar,543267,DAVANGERE
Davin Sons Reta,544331,
DB Intl.Stock,530393,DBSTOCKBRO
DC Infotech,543636,DCI
DCB Bank,532772,DCBBANK
DCG Cables,,DCG
DCM,502820,DCM
DCM Financial,511611,DCMFINSERV
DCM Nouvelle,542729,DCMNVL
DCM Shriram,523367,DCMSHRIRAM
DCM Shriram Inds,523369,DCMSRIND
DCW,500117,DCW
DCX Systems,543650,DCXINDIA
DDev Plastiks,543547,DDEVPLSTIK
De Neers Tools,,DENEERS
DE Nora India,590031,DENORA
Debock Industrie,,DIL
Dec.Gold Mines,512068,
Deccan Bearings,505703,
Deccan Cements,502137,DECCANCE
Deccan Healthcar,542248,
Deccan Polypacks,531989,
Deccan Transcon,,DECCANTRAN
Decillion Financ,539190,
Decipher Labs,524752,
Deco-Mica,531227,
Decorous Investm,539405,
DEE Development,544198,DEEDEV
Deem Roll-Tech,,DEEM
Deep Diamond,539559,
Deep Industries,543288,DEEPINDS
Deep Polymers,541778,
Deepak Builders,544276,DBEIL
Deepak Chemtex,544036,
Deepak Fertilis.,500645,DEEPAKFERT
Deepak Nitrite,506401,DEEPAKNTR
Deepak Spinners,514030,
Delaplex,,DELAPLEX
Delhivery,543529,DELHIVERY
Delphi World,533452,DELPHIFX
Delta Auto.,,DELTIC
Delta Corp,532848,DELTACORP
Delta Industrial,539596,
Delta Manufact.,504286,DELTAMAGNT
Delton Cables,504240,
Den Networks,533137,DEN
Denis Chem Lab,537536,
Denta Water,544345,DENTA
Desco Infra.,544387,
Desh Rakshak,531521,
Destiny Logistic,,DESTINY
Dev Accele.,544513,DEVX
Dev Information,543462,DEVIT
Dev Labtech,543848,
Devine Impex,531585,
Devyani Intl.,543330,DEVYANI
Dhabriya Poly.,538715,
Dhampur Bio,543593,DBOL
Dhampur Sugar,500119,DHAMPURSUG
Dhampur.Spl.Sug.,531923,
Dhanalaxmi Roto,521216,
Dhanashree Elect,542679,
Dhanlaxmi Bank,532180,DHANBANK
Dhanlaxmi Cotex,512485,
Dhanlaxmi Crop,,DHANLAXMI
Dhanlaxmi Fabric,521151,
Dhansafal Fin,512048,
Dhanuka Agritech,507717,DHANUKA
Dhanuka Realty,,DRL
Dhanvantri Jeev.,531043,
Dharan Infra-EPC,541161,DHARAN
Dharani Finance,511451,
Dhariwalcorp,,DHARIWAL
Dharmaj Crop,543687,DHARMAJ
Dharni Capital,543753,
Dhatre Udyog,540080,
Dhenu Buildcon,501945,
Dhillon Freight,544556,
Dhoot Indl.Fin,526971,
DHP India,531306,
Dhruv Consultanc,541302,DHRUV
Dhruva Cap.Serv.,531237,
Dhunseri Invest.,533336,DHUNINV
Dhunseri Tea,538902,DTIL
Dhunseri Vent.,523736,DVL
Dhyaani Trade,543516,
Diamant Infra.,508860,
Diamines & Chem.,500120,DIAMINESQ
Diamond Power,522163,DIACABS
Diana Tea Co,530959,
DIC India,500089,DICIND
Diensten Tech,,DTL
Diffusion Eng,544264,DIFFNKG
Diggi Multitrade,540811,
Digicontent,542685,DGCONTENT
Digidrive Dist.,544079,DIGIDRIVE
Digikore Studios,,DIGIKORE
DigiSpice Tech.,517214,DIGISPICE
Digitide Solutio,544413,DIGITIDE
Digjam,539979,DIGJAMLMTD
Diksha Greens,542155,
Diligent Indust.,531153,
Diligent Media,540789,DNAMEDIA
Dilip Buildcon,540047,DBL
Dindigul Farm,544201,
Dipna Pharmachem,543594,
Disa India,500068,
Dish TV India,532839,DISHTV
Disha Resources,531553,
Dishman Carbogen,540701,DCAL
Divgi Torq,543812,DIVGIITTS
Divi's Lab.,532488,DIVISLAB
Divine Hira Jew.,,DIVINEHIRA
Divine Power,,DPEL
Divyadhan Recy.,,DIVYADHAN
Divyashakti,526315,
Dixon Technolog.,540699,DIXON
DJ Mediaprint,543193,DJML
DJS Stock,511636,
DLF,532868,DLF
DMCC Speciality,506405,DMCC
DMR Engineering,543410,
Docmode Health,,DHTL
Dodla Dairy,543306,DODLA
Dolat Algotech,505526,DOLATALGO
Dolfin Rubbers,542013,
Dollar Industrie,541403,DOLLAR
Dollex Agrotech,,DOLLEX
Dolphin Kitchen Utensils,544170,
Dolphin Medical,526504,
Dolphin Offshore,522261,DOLPHIN
DOMS Industries,544045,DOMS
Donear Inds.,512519,DONEAR
Dr Agarwal's Eye,526783,
Dr Agarwal's Hea,544350,AGARWALEYE
Dr Lal Pathlabs,539524,LALPATHLAB
Dr Lalchand. Lab,541299,
Dr Reddy's Labs,500124,DRREDDY
DRA Consultants,540144,
DRC Systems,543268,DRCSYSTEMS
Dreamfolks Servi,543591,DREAMFOLKS
Dredging Corpn.,523618,DREDGECORP
Drone Destinatio,,DRONE
Droneacharya Aer,543713,
DRS Cargo Movers,,DRSCARGO
DRS Dilip Road,,DRSDILIP
DSJ Keep Learn,526677,KEEPLEARN
DSM Fresh,544568,
DU Digital,,DUGLOBAL
Ducol Organics,,DUCOL
Ducon Tech,534674,DUCON
Dugar Housing,511634,
Duke Offshore,531471,
Duncan Engg.,504908,
Durlax Top,,DURLAX
Duropack,526355,
Duroply Indust.,516003,
Dutron Polymers,517437,
Dwarikesh Sugar,532610,DWARKESH
Dynacons Sys.,532365,DSSL
Dynamatic Tech.,505242,DYNAMATECH
Dynamic Cables,540795,DYCL
Dynamic Industri,524818,
Dynamic Portfol,530779,
Dynamic Services,,DYNAMIC
Dynavision,517238,
Dynemic Products,532707,DYNPRO
E Factor Experie,,EFACTOR
E-Land Apparel,532820,
E2E Networks,,E2E
Earkart,544549,
Earthstahl &All.,543765,
East Buildtech,507917,
East India Drums,523874,
East WestFreight,540006,
Eastcoast Steel,520081,
Eastern Treads,531346,
Easun Capital Ma,542906,
Easy Trip Plann.,543272,EASEMYTRIP
eClerx Services,532927,ECLERX
Eco Hotels,514402,
Eco Recyc.,530643,
Ecoboard Inds.,523732,
Ecoline Exim,,ECOLINE
Econo Trade Indi,538708,
Ecoplast,526703,
Ecos (India),544239,ECOSMOBLTY
ECS Biztech,540063,
Edelweiss.Fin.,532922,EDELWEISS
Educomp Sol.,532696,EDUCOMP
Edvenswa Enter,517170,
EFC (I),512008,EFCIL
Effwa Infra,,EFFWA
Eicher Motors,505200,EICHERMOT
EID Parry,500125,EIDPARRY
Eighty Jewellers,543518,
EIH,500840,EIHOTEL
EIH Assoc.Hotels,523127,EIHAHOTELS
Eiko Lifescience,540204,
Eimco Elecon(I),523708,EIMCOELECO
Ekam Leasing,530581,
Ekansh Concept,531364,
EKI Energy,543284,
EL Forge,531144,
Elango Industrie,513452,
Elantas Beck,500123,
Elcid Investment,503681,
Eldeco Housing,523329,ELDEHSG
Elecon Engg.Co,505700,ELECON
Electro Force,,EFORCE
Electronics Mart,543626,EMIL
Electrost.Cast.,500128,ELECTCAST
Electrotherm(I),526608,ELECTHERM
Elegant Floricul,526473,
Elegant Marbles,526705,
Eleganz Interior,,ELGNZ
Elgi Equipments,522074,ELGIEQUIP
Elgi Rubber Co,,ELGIRUBCO
Elin Electronics,543725,ELIN
Elitecon Inter.,539533,
Elixir Capital,531278,
Ellen.Indl.Gas,544421,ELLEN
Elnet Technolog,517477,
Elpro Internatio,504000,
EMA India,522027,
EMA Partners,,EMAPARTNER
Emami,531162,EMAMILTD
Emami Paper,533208,EMAMIPAP
Emami Realty Ltd,533218,EMAMIREAL
Embassy Develop,532832,EMBDL
Embassy Off.REIT,542602,EMBASSY
Emcure Pharma,544210,EMCURE
Emerald Finance,538882,
Emerald Leisures,507265,
Emerald Tyre,,ETML
Emergent Indust.,506180,
Emk.Global Fin.,532737,EMKAY
Emkay Taps & Cut,,EMKAYTOOLS
Emkay Tools,,ETL
Emmbi Industries,533161,EMMBI
Emmessar Biotech,524768,
Emmforce Auto.,544166,
Emmvee Photovol.,544608,EMMVEE
Empire Inds.,509525,
Empower India,504351,
EMS,543983,EMSLIMITED
eMudhra,543533,EMUDHRA
Enbee Trade,512441,
Encode Packaging,530733,
Encompass Design,,ENCOMPAS
Endurance Tech.,540153,ENDURANCE
Energy Devl.Co.,532219,ENERGYDEV
Energy InfrTrust,542543,
Energy-Mission,,EMMIL
Enfuse Solutions,,ENFUSE
Engineers India,532178,ENGINERSIN
Enkei Wheels,533477,
Enser,,ENSER
Ent.Network,532700,ENIL
Entero Healthcar,544122,ENTERO
Enterprise Intl.,526574,
Envair Electrody,500246,
Enviro Infra,544290,EIEL
Envirotech Sys.,,ENVIRO
EP Biocomposites,543595,
Epack Durable,544095,EPACK
EPack PrefabTech,544540,EPACKPEB
Epic Energy,530407,
Epigral,543332,EPIGRAL
EPL Ltd,500135,EPL
Eppeltone Ene.,,EEPL
Epsom Properties,531155,
Epuja Spiritech,532092,
EPW India,,
Equilateral Ent.,531262,
Equippp Social,590057,EQUIPPP
Equitas Sma. Fin,543243,EQUITASBNK
Eraaya Lifespace,531035,
ERIS Lifescience,540596,ERIS
ERP Soft Systems,530909,
Esaar (India),531502,
Esab India,500133,ESABINDIA
ESAF Small Fin,544020,ESAFSFB
Esconet,,ESCONET
Escorp Asset Mgt,540455,
Escorts Kubota,500495,ESCORTS
Esha Media,531259,
ESI,590022,EASTSILK
Espire Hospi,532016,
Esprit Stones,,ESPRIT
Essar Shipping,533704,ESSARSHPNG
Essen Speciality,,ESFL
Essex Marine,544475,
Ester Industries,500136,ESTER
Eternal,543320,ETERNAL
Ethos,543532,ETHOSLTD
Euphoria Infotec,544094,
Eureka Forbes,543482,EUREKAFORB
Eureka Industrie,521137,
Euro India Fresh,,EIFFL
Euro Leder Fash,526468,
Euro Panel,544461,EUROBOND
Euro Pratik Sale,544519,EUROPRATIK
Eurotex Industri,521014,EUROTEXIND
Evans Electric,542668,
Evantra Ventures,512099,
Eveready Inds.,531508,EVEREADY
Everest Inds.,508906,EVERESTIND
Everest Kanto,532684,EKC
Everest Organics,524790,
Everlon Fin.,514358,
Evexia Lifecare,524444,
Evoq Remedies,543500,
Exato Technologies,544626,
Excel Industries,500650,EXCELINDUS
Excel Realty,533090,EXCEL
Excellent Wires,,EXCELLENT
Excelsoft Tech.,544617,EXCELSOFT
Exhicon Events,543895,
Exicom Tele-Sys.,544133,EXICOM
Exide Inds.,500086,EXIDEIND
Exim Routes,,
Expleo Solutions,533121,EXPLEOSOL
Explicit Finance,530571,
Expo Engineering,526614,
Exxaro Tiles,543327,EXXARO
F A C T,590024,FACT
F Mec Intl. Fin.,539552,
Faalcon Concepts,544164,FAALCON
Fabino Enter,543444,
Fabtech Tech.,544558,FABTECH
Fabtech Techn.,544332,
Facor Alloys,532656,
Fairchem Organic,543252,FAIRCHEMOR
Falcon,,FALCONTECH
Family Care,516110,
Faze Three,530079,FAZE3Q
FCS Software,532666,FCSSOFT
FDC,531599,FDC
Fedbank Financi.,544027,FEDFINA
Fedders Holding,511628,
Federal Bank,500469,FEDERALBNK
Federal-Mogul Go,505744,FMGOETZE
Felix Industries,,FELIX
Fermenta Biotec.,506414,
Fervent Synerg.,533896,
FGP,500142,
Fiberweb (India),507910,FIBERWEB
Fidel Softech,,FIDEL
Fiem Industries,532768,FIEMIND
Filatex Fash.,532022,FILATFASH
Filatex India,526227,FILATEX
Filmcity Media,531486,
Filtra Consult.,539098,
Filtron Engineer,531191,
Finbud Financial,,FINBUD
Fine Line Cir.,517264,
Fine Organic,541557,FINEORG
Finelistings Tec,544173,
Fineotex Chem,533333,FCL
Finkurve Fin.,508954,FINKURVE
Fino Payments,543386,FINOPB
Finolex Cables,500144,FINCABLES
Finolex Inds.,500940,FINPIPE
First Custodian,511122,
First Fintec,532379,
Firstsour.Solu.,532809,FSL
Fischer Medical,524743,FISCHER
Five-Star Bus.Fi,543663,FIVESTAR
Flair Writing,544030,FLAIR
Flex Foods,523672,
Flexituff Vent.,533638,FLEXITUFF
Flomic Global,504380,
Flora Corporatio,540267,
Fluidomat,522017,
FlySBS Aviation,,FLYSBS
Flywings Simula.,,FWSTC
Foce India,,FOCE
Focus Business,543312,
Focus Lighting,,FOCUS
Fone4 Communica.,543521,
Fonebox Retail,,FONEBOX
Foods & Inns,507552,FOODSIN
Forbes & Co,502865,
Forbes Precision,544186,
Forcas Studio,,FORCAS
Force Motors,500033,FORCEMOT
Forge Auto,,FORGEAUTO
Fortis Health.,532843,FORTIS
Fortis Malar,523696,
Fortune Interntl,530213,
Foseco India,500150,FOSECOIND
Foundry Fuel,513579,
Fourth Gen.,532403,
Franklin Indust.,540190,
Franklin Leasing,539839,
Fraser & Company,539032,
FratelliVineyard,541741,
Fredun Pharma,539730,
Freshara Agro,,FRESHARA
Frog Innovations,,FROG
Frontier Capital,508980,
Frontier Springs,522195,
Frontline Corp.,532042,
Fruition Venture,538568,
FSN E-Commerce,543384,NYKAA
Fujiyama Power,544613,UTLSOLAR
Fundviser Capit.,530197,
Fusion Finance,543652,FUSION
Future Consumer,533400,FCONSUMER
Future Ent. DVR,570002,FELDVR
Future Enterp.,523574,FEL
Future Lifestyle,536507,FLFL
Future Market,533296,FMNL
Futuristic Sec.,523113,
Futuristic Solu,534063,
Fynx Capital,507962,
G G Automotive,531399,
G G Dandekar,505250,
G G Engineering,540614,
G K Consultants,531758,
G K P Printing,542666,
G M Breweries,507488,GMBREW
G M D C,532181,GMDCLTD
G M Polyplast,543239,
G N F C,500670,GNFC
G R Infraproject,543317,GRINFRA
G S Auto Intl.,513059,
G S F C,500690,GSFC
G V Films,523277,
G-Tec Janix,,GTECJAINX
G-Tech Info.,532139,
Gabriel India,505714,GABRIEL
Gabriel Pet,544108,
GACM Tech,531723,GATECH
GACM Tech-DVR,570005,GATECHDVR
Gagan Gases,524624,
GAIL (India),532155,GAIL
Gajanan Sec.Serv,538609,
Gajanand Inter.,,GAJANAND
Gala Global,539228,
Gala Precis. Eng,544244,GALAPREC
Galactico Corpo.,542802,
Galada Finance,538881,
Galada Power,504697,
Galaxy Agrico,531911,
Galaxy Bearings,526073,
Galaxy Cloud,506186,
Galaxy Medicare,,GML
Galaxy Surfact.,540935,GALAXYSURF
Gallantt Ispat L,532726,GALLANTT
Gallard Steel,544616,
Gallops Enterp.,531902,
Gamco Ltd,540097,
Game Changers,544594,
Gandhar Oil Ref.,544029,GANDHAR
Gandhi Spl. Tube,513108,GANDHITUBE
Ganesh Benzopl.,500153,GANESHBE
Ganesh Consumer,544528,GANESHCP
Ganesh Green,,GGBL
Ganesh Holdings,504397,
Ganesh Housing,526367,GANESHHOU
Ganesh Infra.,,GANESHIN
Ganesha Ecosphe.,514167,GANECOS
Ganesha Ecoverse,539041,
Ganga Bath Fitt.,,GANGABATH
Ganga Forging,,GANGAFORGE
Ganga Papers,531813,
Ganga Pharma.,539680,
Ganges Securitie,540647,GANGESSECU
Ganon Products,512443,
Garbi Finvest,539492,
Garden Reach Sh.,542011,GRSE
Garg Furnace,530615,
Garment Mantra,539216,
Garnet Construct,526727,
Garnet Intl.,512493,
Garodia Chemical,530161,
Garuda Cons,544271,GARUDA
Garware Hi Tech,500655,GRWRHITECH
Garware Marine,509563,
Garware Synth,514400,
Garware Tech.,509557,GARFIBRES
Gateway Distri,543489,GATEWAY
Gautam Exim,540613,
Gautam Gems,540936,
Gayatri BioOrga.,524564,
Gayatri Highways,541546,GAYAHWS
Gayatri Projects,532767,GAYAPROJ
Gayatri Rubbers,,GRCL
Gayatri Sugars,532183,
GB Logistics,544348,
GCM Capital,538319,
GCM Commodity,535917,
GCM Securit.,535431,
Gconnect Logitec,544156,
GDL Leasing,530855,
GE Power,532309,GVPIL
GE Shipping Co,500620,GESHIP
GE Vernova T&D,522275,GVT&D
GEE,504028,
GeeCee Vent.,532764,GEECEE
Geekay Wires,,GEEKAYWIRE
Geetanjali Cred.,539486,
Gem Aromatics,544491,GEMAROMA
Gem Enviro,544199,
Gem Spinners,521133,
Gemstone Invest.,531137,
General Insuranc,540755,GICRE
Generic Engineer,539407,GENCON
Genesis IBRC,514336,
Genesys Intl.,506109,GENESYS
Gennex Lab.,531739,
Genomic Valley,539206,
Genpharmasec,531592,
Gensol Engineer.,542851,GENSOL
Genus Paper & Bo,538961,GENUSPAPER
Genus Power,530343,GENUSPOWER
Genus Prime,532425,
Geojit Fin. Ser.,532285,GEOJITFSL
Getalong Enterp.,543372,
GFL,500173,GFLLIMITED
GHCL,500171,GHCL
GHCL Textiles,543918,GHCLTEXTIL
Ghushine Fintrra,539864,
GHV Infra,505504,
Gian Lifecare,542918,
GIC Housing Fin,511676,GICHSGFIN
Gilada Finance,538788,
Gillanders Arbut,532716,GILLANDERS
Gillette India,507815,GILLETTE
Gini Silk Mills,531744,
Ginni Filaments,590025,GINNIFILA
Giriraj Civil,,GIRIRAJ
Gita Renewable,539013,
GK Energy,544525,GKENERGY
GKB Ophthalmics,533212,
GKW,,GKWLIMITED
Glance Finance,531199,
Gland Pharma,543245,GLAND
Glaxosmi. Pharma,500660,GLAXO
GLEN Industries,544444,
Glenmark Pharma.,532296,GLENMARK
Glittek Granites,513528,
Global Cap.Mkt.,530263,
Global Education,,GLOBAL
Global Health,543654,MEDANTA
Global Longlife,543520,
Global Ocean,,
Global Offshore,501848,
Global Pet Indus,,GLOBALPET
Global Surfaces,543829,GSLSU
Global Vectra,532773,GLOBALVECT
Globale Tessile,544234,GLOBALE
Globalspace Tech,540654,
Globe Civil,544424,GLOBECIVIL
Globe Commercial,540266,
Globe Enterprises,,GLOBE
Globe Intl. Car.,,GICL
Globesecure Tech,,GSTL
Globtier Infotec,544494,
Globus Power,526025,
Globus Spirits,533104,GLOBUSSPR
Gloster Ltd,542351,GLOSTERLTD
Glottis,544557,GLOTTIS
GMM Pfaudler,505255,GMMPFAUDLR
GMR Airports,532754,GMRAIRPORT
GMR Urban,543490,GMRP&UI
GNA Axles,540124,GNA
GNG Electronics,544455,EBGNG
Go Digit General,544179,GODIGIT
Go Fashion (I),543401,GOCOLORS
Goa Carbon,509567,GOACARBON
Goblin India,542850,
GOCL Corpn.,506480,GOCLCORP
Godavari Bioref.,544279,GODAVARIB
Godavari Drugs,530317,
Godawari Power,532734,GPIL
Godfrey Phillips,500163,GODFRYPHLP
Godrej Agrovet,540743,GODREJAGRO
Godrej Consumer,532424,GODREJCP
Godrej Industrie,500164,GODREJIND
Godrej Propert.,533150,GODREJPROP
Goel Construct.,544504,
Goel Food,543538,
Goenka Business,538787,
Goenka Diamond,533189,GOENKA
Gogia Capital,531600,
Gokak Textiles,532957,
Gokaldas Exports,532630,GOKEX
Gokul Agro,539725,GOKULAGRO
Gokul Refoils,532980,GOKUL
Goldcoin Health,538542,
Golden Carpets,531928,
Golden Crest,540062,
Golden Legand Ls,509024,
Golden Tobacco,500151,GOLDENTOBC
Goldiam Intl.,526729,GOLDIAM
Goldkart Jewels,,GOLDKART
Goldstar Power,,GOLDSTAR
Golech.Glob.Fin.,531360,
Golkonda Alumin.,513309,
Golkunda Diamond,523676,
Goodluck India,530655,GOODLUCK
Goodricke Group,500166,
Goodyear India,500168,GOODYEAR
Gopal Iron Stl.,531913,
Gopal Snacks,544140,GOPAL
Gorani Industrie,531608,
Gothi Plascon,531111,
Gourmet Gateway,506134,
Gowra Leasing,530709,
Goyal Aluminiums,541152,GOYALALUM
Goyal Associates,530663,
Goyal Salt,,GOYALSALT
GP Eco Solutions,,GPECO
GP Petroleums,532543,GULFPETRO
GPT Healthcare,544131,GPTHEALTH
GPT Infraproject,533761,GPTINFRA
Grameva,539120,
Grand Continent,,GCHOTELS
Grand Foundry,513343,GFSTEELS
Grand Oak Canyon,523862,
Grandma Trading,504369,
Granules India,532482,GRANULES
Graphisads,,GRAPHISAD
Graphite India,509488,GRAPHITE
Grasim Inds,500300,GRASIM
Gratex Industrie,526751,
Grauer & Weil,505710,GRAUWEIL
Graviss Hospital,509546,
Gravita India,533282,GRAVITA
Gravity (India),532015,
Greaves Cotton,501455,GREAVESCOT
Greenchef Appli.,,GREENCHEF
Greencrest Finan,531737,
Greenhitech Ven.,544163,
Greenlam Industr,538979,GREENLAM
Greenleaf Envi.,,GREENLEAF
Greenpanel Inds.,542857,GREENPANEL
Greenply Industr,526797,GREENPLY
Gretex Corporate,543324,GCSL
Gretex Industrie,,GRETEX
Grill Splendour,,BIRDYS
Grindwell Norton,506076,GRINDWELL
GRM Overseas,531449,GRMOVER
Groarc Industrie,532315,
Grob Tea Co,,GROBTEA
Grovy India,539522,
Growington Vent,539222,
GRP,509152,GRPLTD
GSB Finance,511543,
GSL Securities,530469,
GSM Foils,,GSMFOILS
GSS Infotech,532951,GSS
GTL,500160,GTL
GTL Infra.,532775,GTLINFRA
GTN Industries,500170,
GTN Textiles,532744,
GTPL Hathway,540602,GTPL
GTT Data,530457,
GTV Engineering,539479,
Gufic BioScience,509079,GUFICBIO
Guj Apollo Inds,522217,GUJAPOLLO
Guj Inds. Power,517300,GIPCL
Guj Pipavav Port,533248,GPPL
Guj. Ambuja Exp,524226,GAEL
Guj. Containers,513507,
Guj. Craft Inds,526965,
Guj. Credit Corp,511441,
Guj. Inject(Ker),524238,
Guj. Lease Fin.,500174,GLFL
Guj. Petrosynth.,506858,
Guj. Raffia Inds,523836,GUJRAFFIA
Guj. State Fin.,532160,
Guj. Terce Labs.,524314,
Guj. Themis Bio.,506879,GUJTHEM
Guj. Toolroom,513337,
Guj.Nat.Resour.,513536,
Guj.St.Petronet,532702,GSPL
Gujarat Alkalies,530001,GUJALKALI
Gujarat Cotex,514386,
Gujarat Fluoroch,542812,FLUOROCHEM
Gujarat Gas,539336,GUJGASLTD
Gujarat Hotels,507960,
Gujarat Hy-Spin,540938,
Gujarat Intrux,517372,
Gujarat Peanut,544548,
Gujarat Poly,517288,
Gujarat Winding,541627,
Gulf Oil Lubric.,538567,GULFOILLUB
Gulshan Polyols,532457,GULPOLY
Gurunanak Agri.,,GURUNANAK
GVK Power Infra.,532708,GVKPIL
GVP Infotech,,GVPTECH
Gyan Developers,530141,
H D I L,532873,HDIL
H P C L,500104,HINDPETRO
H P Cotton Tex,502873,
H T Media,532662,HTMEDIA
H U D C O,540530,HUDCO
H. S. India,532145,
H.G. Infra Engg.,541019,HGINFRA
H.M. Electro,544349,
Halder Venture,539854,
Haldyn Glass,515147,
Haleos Labs Limited,540679,HALEOSLABS
Hamps Bio,544312,
Hampton Sky,526407,
Handson Global,532761,HGM
Hanman Fit,538731,
